Source,Depth
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,3
P,3
P,1
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,2
P,2
P,1
P,3
P,3
P,3
P,2
P,3
P,3
P,2
P,2
P,1
P,2
P,2
R,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,3
J,2
J,2
J,2
J,3
J,2
J,2
J,3
J,2
J,3
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,3
J,2
J,2
J,3
J,2
J,3
J,2
J,1
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
R,2
R,2
R,2
R,2
R,3
R,2
R,2
R,3
R,2
R,3
R,2
R,2
R,2
R,2
R,2
R,2
R,3
R,3
R,2
R,3
R,2
R,2
R,2
R,2
R,3
R,3
R,3
R,3
J,2
R,3
R,3
R,2
J,2
J,2
J,2
J,3
J,3
J,2
J,3
J,1
P,3
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
J,2
J,2
J,2
J,2
J,2
R,2
J,2
P,2
P,2
J,2
P,3
J,2
P,2
P,3
P,2
P,3
J,2
J,2
J,2
J,2
P,2
J,1
J,2
P,2
P,3
P,2
J,2
P,2
P,2
J,2
P,2
J,2
J,2
J,2
J,2
J,2
P,2
P,3
P,1
P,2
P,2
P,1
P,2
J,2
J,3
J,2
P,2
P,3
P,2
P,1
P,2
P,2
P,2
P,1
P,3
P,3
P,3
P,2
P,2
P,2
P,2
P,2
P,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
R,2
R,3
R,2
P,2
P,2
P,2
P,2
P,2
P,3
J,2
J,2
J,2
J,2
J,2
J,1
J,1
J,1
J,1
J,1
J,2
J,2
P,2
J,2
P,2
P,2
J,2
J,2
J,2
J,1
J,1
J,2
J,2
P,2
P,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
R,3
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,2
R,3
P,2
P,2
P,2
P,3
R,2
J,3
J,2
J,2
J,2
P,2
J,3
J,2
J,2
J,1
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,1
J,2
J,2
J,2
J,2
P,2
J,2
J,2
J,2
J,2
J,2
P,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,3
J,3
J,1
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,1
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,1
J,1
J,1
J,2
J,3
P,3
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
J,2
J,3
J,1
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,3
J,3
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,3
J,3
J,3
J,3
J,2
J,2
J,2
J,2
J,3
J,3
J,2
J,1
J,3
J,2
J,3
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,3
J,3
J,2
J,2
J,2
J,2
J,2
J,2
P,2
J,2
J,2
J,2
J,2
J,3
J,2
J,1
J,2
J,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,3
E,3
E,2
E,3
E,2
E,2
E,2
E,2
E,3
E,2
E,2
J,2
J,2
P,1
P,2
P,2
E,2
J,2
E,2
E,1
E,3
E,2
E,3
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,3
E,2
E,1
E,2
E,2
E,2
E,1
E,2
E,3
E,2
E,2
E,2
E,1
E,2
E,2
E,3
E,1
E,2
E,2
E,2
E,3
E,3
E,2
R,2
R,2
R,2
R,2
R,2
R,2
E,2
E,2
E,3
J,2
J,2
J,2
J,2
J,2
P,3
P,2
P,2
P,2
P,1
P,2
P,1
P,2
P,2
P,2
P,3
P,1
P,3
P,1
P,3
P,3
P,2
P,2
P,2
P,2
J,2
J,2
J,2
J,2
J,3
J,2
J,3
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,3
J,2
J,3
J,2
J,2
J,2
J,1
J,3
J,2
J,2
J,3
J,2
J,2
J,3
J,1
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
E,1
E,2
E,2
E,2
R,1
R,2
P,2
P,2
P,2
P,2
P,2
R,2
P,2
P,1
P,1
P,2
P,3
P,2
R,2
P,3
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,1
J,2
J,3
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,1
J,2
J,2
J,2
J,2
J,3
J,3
J,1
J,2
J,2
J,2
P,3
P,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,3
J,2
J,2
J,2
J,3
J,3
J,3
J,3
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
J,2
J,3
E,2
J,3
J,3
J,2
J,3
E,2
E,2
J,2
E,2
E,2
E,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,1
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,3
J,3
J,2
E,2
E,3
J,2
E,1
E,3
E,2
E,2
E,2
E,1
E,2
E,1
E,2
E,2
E,2
E,3
E,2
E,2
E,1
E,3
E,2
E,2
E,2
E,2
J,3
J,2
J,3
J,1
J,2
J,3
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,3
J,3
J,2
J,2
E,2
E,2
J,3
E,2
E,2
E,2
E,2
E,2
E,1
E,3
E,2
E,2
E,3
E,2
E,2
E,2
J,2
P,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,3
E,2
E,2
E,2
E,2
E,3
J,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
J,2
J,2
J,2
J,2
J,2
J,3
J,3
J,2
J,2
J,2
E,2
E,2
E,2
E,2
E,2
E,3
E,3
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,1
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,1
E,2
E,2
E,2
E,2
J,2
J,2
J,2
J,2
J,3
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,1
E,3
E,2
E,2
E,2
E,1
E,2
E,3
E,3
P,2
P,2
P,3
P,2
P,2
P,2
P,1
E,2
E,2
E,2
E,2
E,2
J,2
J,2
P,1
P,2
P,1
P,1
P,2
P,2
P,2
R,1
P,2
P,1
P,2
P,2
P,3
P,2
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,3
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,1
J,1
J,2
P,2
R,3
E,2
E,2
J,2
J,2
J,3
J,3
J,2
J,3
J,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
J,2
J,2
E,2
E,3
J,2
E,2
E,3
J,2
J,2
E,3
E,2
E,2
J,2
J,2
J,2
J,2
J,3
E,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,3
J,2
J,2
J,2
J,2
J,3
J,2
J,3
J,3
J,3
J,2
J,2
J,3
J,2
J,2
J,3
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,3
J,3
J,2
J,3
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,1
E,2
E,2
E,2
E,3
E,2
E,2
E,3
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,3
E,2
E,3
E,3
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,3
P,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
J,2
J,2
J,2
J,2
E,2
E,2
E,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,1
J,2
J,2
J,2
E,3
E,2
E,2
E,2
E,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
E,2
E,2
E,3
J,2
J,1
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
E,3
J,3
J,3
J,2
E,3
E,2
E,2
E,3
E,2
E,2
J,2
J,2
J,3
J,3
J,2
J,3
J,2
J,2
J,2
J,3
J,3
J,3
J,2
J,2
J,3
J,2
J,1
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,3
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
E,2
J,2
J,2
J,2
J,3
J,2
J,3
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,3
J,3
E,2
E,2
E,2
E,2
E,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,3
P,2
P,2
P,1
P,2
P,2
P,2
P,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,3
J,2
J,2
J,3
J,2
J,2
E,2
E,2
E,3
E,2
J,3
J,2
J,2
J,2
J,3
J,2
J,3
J,3
J,2
J,3
J,2
J,2
J,3
J,2
J,2
J,2
J,2
P,2
J,3
J,3
J,2
E,2
E,3
P,3
P,2
P,2
P,2
R,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,3
E,2
E,2
E,2
E,3
E,2
E,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,1
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
R,2
P,2
P,2
P,3
P,1
P,2
J,2
J,2
J,3
J,2
J,3
J,2
J,2
J,2
J,2
J,3
J,2
P,2
P,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,3
J,2
E,2
E,2
E,2
E,2
R,2
R,1
R,1
R,1
R,2
J,1
P,2
E,2
E,2
E,2
E,2
E,2
P,1
P,2
E,2
E,2
E,3
E,2
E,3
E,2
E,2
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,3
J,2
J,2
J,2
J,2
J,2
J,3
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
P,2
P,2
E,2
J,2
J,2
J,2
J,2
E,3
J,3
J,3
E,3
E,2
E,2
E,2
E,2
E,2
E,3
E,3
E,3
E,2
J,3
J,3
J,2
J,3
E,3
E,2
E,2
E,3
E,3
E,2
E,2
E,2
E,3
E,3
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
J,2
J,2
E,3
E,2
E,2
J,2
J,2
J,2
E,3
E,3
E,2
E,3
E,2
J,2
J,3
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
P,2
P,2
P,2
P,2
P,3
P,2
P,3
P,2
P,1
P,2
P,2
R,3
P,2
P,2
P,2
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
R,2
R,2
R,1
R,2
R,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,2
P,2
P,2
P,2
E,2
E,2
E,3
E,2
E,2
P,2
P,2
E,2
P,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
P,3
P,2
P,2
E,3
E,3
E,2
E,2
E,2
E,2
E,2
E,3
P,3
P,3
P,2
P,2
E,2
E,3
E,2
E,2
E,3
E,2
E,3
E,2
E,3
E,3
E,2
E,3
E,2
E,2
E,2
E,3
E,3
E,2
E,2
E,3
P,3
P,2
P,3
P,2
P,2
E,2
E,2
E,3
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,3
E,3
E,2
E,2
E,2
E,2
E,2
R,2
E,2
E,2
E,3
E,2
E,2
E,3
E,3
E,2
E,2
E,3
E,2
E,2
E,3
E,2
E,3
E,2
E,2
E,2
E,3
R,2
E,2
E,2
E,2
E,3
E,3
E,3
R,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
R,2
R,2
P,1
P,2
P,2
P,3
P,2
P,3
P,3
P,2
P,2
P,2
P,3
P,3
P,3
P,2
P,3
P,3
P,3
P,2
P,2
P,2
E,2
E,3
E,3
E,2
E,2
E,2
E,2
P,2
E,3
E,3
E,2
E,2
E,2
E,2
E,2
E,2
R,2
E,2
E,2
P,2
P,2
P,2
P,2
P,2
P,1
P,3
P,1
P,3
P,2
R,2
R,2
E,1
E,2
E,3
E,2
E,3
E,2
E,2
E,2
E,3
E,2
E,3
E,2
E,2
E,2
E,3
E,2
E,3
E,2
E,2
R,2
J,3
J,2
P,1
P,3
P,2
P,3
J,2
J,2
J,2
P,2
J,3
P,2
E,3
E,2
J,3
J,2
P,2
P,2
P,2
P,2
E,2
E,3
P,3
P,2
P,3
J,3
E,2
P,2
P,2
P,2
P,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,1
J,2
J,2
J,2
J,2
J,3
J,1
R,3
E,2
E,2
R,2
J,3
J,1
J,3
E,3
R,3
R,3
P,1
P,3
J,3
J,2
P,2
P,2
P,3
P,3
P,2
P,1
P,3
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,3
P,1
P,2
P,3
P,2
P,2
P,2
P,1
R,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,3
E,1
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,3
E,3
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,3
E,2
E,2
P,2
R,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
J,2
J,2
J,3
J,2
J,2
J,2
J,2
E,2
J,3
E,2
J,2
J,2
J,2
J,2
J,2
J,2
P,2
P,2
P,1
P,3
P,2
P,2
P,2
P,1
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
E,2
E,2
E,2
E,3
E,2
E,2
E,1
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,1
E,2
E,2
E,1
E,1
E,1
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,3
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,1
E,1
E,2
E,2
E,1
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,1
E,2
E,2
E,1
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,1
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,3
E,2
E,2
E,2
E,2
E,1
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
P,2
P,2
P,2
P,1
P,2
P,2
P,1
P,1
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,1
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,3
P,3
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,2
P,2
P,3
P,2
P,1
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,3
P,2
P,2
P,3
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,3
P,2
P,3
P,2
P,2
P,1
P,2
P,2
P,2
P,2
P,1
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,3
P,3
P,2
P,2
P,2
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,2
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,3
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,2
E,3
E,1
E,2
E,3
E,3
E,2
E,3
E,3
E,2
E,1
E,2
E,2
E,3
E,1
E,3
E,2
E,2
E,2
E,2
J,3
J,2
J,2
J,3
J,2
J,2
J,3
J,2
J,2
J,3
J,3
J,2
J,2
J,2
J,2
J,2
J,1
J,3
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,2
J,3
P,3
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,1
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,1
P,2
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,3
P,3
P,2
P,2
P,2
P,2
P,3
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,2
P,1
P,3
P,3
P,2
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,3
P,2
P,2
P,2
P,2
P,3
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,3
P,2
P,3
P,3
P,2
P,2
P,2
P,2
P,2
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,3
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,3
P,3
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,1
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,3
P,3
P,2
P,2
P,2
P,3
P,3
P,2
P,2
P,3
P,3
P,2
P,1
P,3
P,2
P,3
P,2
P,2
P,1
P,2
P,2
P,3
P,3
P,2
P,2
P,1
P,2
P,3
P,2
P,3
P,1
P,2
P,3
P,2
P,3
P,3
P,1
P,3
P,2
P,2
P,1
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,3
P,2
P,2
P,3
P,1
P,2
P,2
P,3
P,2
P,2
P,1
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,1
P,3
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,1
P,2
P,2
P,2
P,3
P,3
P,3
P,2
P,3
P,2
P,2
P,3
P,3
P,2
P,3
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
P,3
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,2
P,3
P,1
P,2
P,2
P,2
P,3
P,3
P,2
P,2
P,2
P,3
P,2
P,2
P,1
P,1
P,2
P,2
P,3
P,2
P,2
P,2
P,2
P,2
P,3
P,2
P,2
P,2
