Source,Total Words,Unique Words
P,7,7
P,14,13
P,6,6
P,12,11
P,13,12
P,11,11
P,17,17
P,10,9
P,13,13
P,12,12
P,20,20
P,18,18
P,6,5
P,16,16
P,9,9
P,18,15
P,8,8
P,12,12
P,6,5
P,15,14
P,23,22
P,13,13
P,6,5
P,14,14
P,18,18
P,19,18
P,13,13
P,22,22
P,27,25
P,21,21
P,15,14
P,5,5
P,14,11
P,16,16
R,11,11
J,23,23
J,9,9
J,16,16
J,12,12
J,19,19
J,11,11
J,12,12
J,8,8
J,10,10
J,12,11
J,10,10
J,11,11
J,13,13
J,12,12
J,28,27
J,15,15
J,13,13
J,13,13
J,15,15
J,13,13
J,7,7
J,22,22
J,8,8
J,15,15
J,7,7
J,14,14
J,21,21
J,13,13
J,18,18
J,8,8
J,10,10
J,15,15
J,12,12
J,12,12
J,23,23
J,15,14
J,16,16
J,23,23
J,8,8
J,17,17
J,11,11
J,8,8
J,22,22
J,11,11
J,18,16
J,14,12
J,14,13
J,9,9
J,13,13
J,11,10
J,10,10
J,15,15
J,14,13
J,13,13
J,10,10
J,14,13
J,13,13
J,7,7
J,17,17
J,18,17
J,9,9
J,17,16
J,16,13
J,11,11
J,10,10
J,10,10
J,14,14
J,17,17
J,7,7
J,22,21
J,14,14
R,12,12
R,11,11
R,12,12
R,13,13
R,12,12
R,9,9
R,14,14
R,11,11
R,7,7
R,15,15
R,10,10
R,7,7
R,14,14
R,10,10
R,9,9
R,14,14
R,11,11
R,10,10
R,12,12
R,11,11
R,8,8
R,14,13
R,10,10
R,9,9
R,10,10
R,15,15
R,11,11
R,9,9
J,15,15
R,15,15
R,11,11
R,14,13
J,11,11
J,15,15
J,15,15
J,23,23
J,15,15
J,10,10
J,22,20
J,5,5
P,13,13
P,10,9
P,7,6
P,14,13
P,17,17
P,14,14
P,15,15
P,15,15
P,21,20
P,13,13
P,14,14
P,14,13
P,13,13
P,9,9
J,16,16
J,18,18
J,13,13
J,21,21
J,6,6
R,10,10
J,12,12
P,15,15
P,14,13
J,8,8
P,22,22
J,8,8
P,18,18
P,20,17
P,13,12
P,13,13
J,14,14
J,11,10
J,14,13
J,8,8
P,16,15
J,10,10
J,25,24
P,7,7
P,20,19
P,9,9
J,12,12
P,11,11
P,13,13
J,11,11
P,11,11
J,10,10
J,24,23
J,11,11
J,17,17
J,13,13
P,22,22
P,8,8
P,5,5
P,9,9
P,21,20
P,7,7
P,14,13
J,14,14
J,32,30
J,14,14
P,13,12
P,20,19
P,14,14
P,6,6
P,18,17
P,12,12
P,7,7
P,8,8
P,9,9
P,18,17
P,17,16
P,18,18
P,10,10
P,8,8
P,20,19
P,18,18
P,16,16
J,13,13
J,8,8
J,6,6
J,7,7
J,11,11
J,21,20
J,10,10
J,7,7
J,9,9
J,10,10
R,9,9
R,10,10
R,12,12
P,9,9
P,5,5
P,6,6
P,9,9
P,6,6
P,11,11
J,9,9
J,14,13
J,9,9
J,12,11
J,9,9
J,10,8
J,10,9
J,7,7
J,6,5
J,6,4
J,10,8
J,15,14
P,7,7
J,11,11
P,7,7
P,6,6
J,8,7
J,14,14
J,10,8
J,6,4
J,6,4
J,10,8
J,7,7
P,7,7
P,12,12
J,7,7
J,9,9
J,17,17
J,17,17
J,11,11
J,19,19
J,11,11
J,11,11
J,19,17
R,13,13
R,12,12
R,8,8
R,14,14
R,7,7
R,14,14
R,8,8
R,14,14
R,7,7
R,13,13
R,8,8
R,13,13
R,7,7
R,11,11
R,8,8
R,14,14
R,11,10
R,15,13
P,10,10
P,19,18
P,6,6
P,29,27
R,10,10
J,14,13
J,8,8
J,9,9
J,17,17
P,26,24
J,12,12
J,16,16
J,18,18
J,5,5
J,12,12
J,17,17
J,12,12
J,11,11
J,12,12
J,12,12
J,12,12
J,13,13
J,15,15
J,13,13
J,12,11
J,11,11
J,6,6
J,16,16
J,12,12
J,9,9
P,14,14
J,15,14
J,18,18
J,13,13
J,25,23
J,14,14
P,11,11
J,6,6
J,21,21
J,12,12
J,16,15
J,8,8
J,12,12
J,14,13
J,20,17
J,9,9
J,10,10
J,19,19
J,9,9
J,16,16
J,18,17
J,17,14
J,14,14
J,10,9
J,12,12
J,18,18
J,17,17
J,12,12
J,15,14
J,19,19
J,10,10
J,9,9
J,11,11
J,11,11
J,14,13
J,16,16
J,16,16
J,19,19
J,16,16
J,12,12
J,15,15
J,18,18
J,5,5
J,14,14
J,7,7
J,12,12
J,17,17
J,7,7
J,13,13
J,17,17
J,12,12
J,8,8
J,11,11
J,15,15
J,20,19
J,6,6
J,6,4
J,8,5
J,11,11
J,20,19
P,21,21
J,10,10
J,19,19
J,15,15
J,11,10
J,15,15
J,10,10
J,11,11
J,16,16
J,14,14
J,15,15
J,11,11
P,12,12
P,11,11
P,20,20
P,8,8
P,8,8
P,8,8
P,14,14
P,9,9
P,16,16
P,16,15
P,12,12
P,13,13
P,9,9
P,19,19
P,11,11
P,15,14
P,14,14
P,14,14
P,17,17
P,8,8
P,20,19
P,18,18
P,13,13
P,7,7
P,29,26
P,8,8
P,10,10
P,7,7
P,12,12
J,11,11
J,15,15
J,12,12
J,9,9
J,18,17
J,14,14
J,15,15
J,15,15
J,8,8
J,16,16
J,10,10
J,11,11
J,14,14
J,10,10
J,11,11
J,11,11
J,8,8
J,11,11
J,25,25
J,11,11
J,11,11
J,10,10
J,8,8
J,16,15
J,20,20
J,13,13
J,12,12
J,18,18
J,14,14
J,17,16
J,16,16
J,17,17
J,10,10
J,16,16
J,20,20
J,14,14
J,15,15
J,15,15
J,7,7
J,5,5
J,29,29
J,20,20
J,12,11
J,13,13
J,18,18
J,15,13
J,22,22
J,19,19
J,16,16
J,19,19
J,6,6
J,23,23
J,17,17
J,14,14
J,17,17
J,7,7
J,12,12
J,13,12
J,6,6
J,11,11
J,17,17
P,22,19
J,17,17
J,14,14
J,10,10
J,15,14
J,21,21
J,15,15
J,5,5
J,11,11
J,14,14
E,12,12
E,14,14
E,17,17
E,10,10
E,18,18
E,24,24
E,21,21
E,15,15
E,24,24
E,11,11
E,14,14
E,13,12
E,24,24
E,13,13
E,8,8
E,18,18
E,12,12
E,14,14
J,11,11
J,11,11
P,12,12
P,12,12
P,9,9
E,10,10
J,11,11
E,11,11
E,10,10
E,17,16
E,8,8
E,23,23
E,9,9
E,21,21
E,10,10
E,19,19
E,28,27
E,12,11
E,15,13
E,10,10
E,9,9
E,17,17
E,21,20
E,4,4
E,12,12
E,20,20
E,9,9
E,7,7
E,12,12
E,16,15
E,11,11
E,13,13
E,10,10
E,6,6
E,13,13
E,25,23
E,25,24
E,10,9
E,17,17
E,18,17
E,17,17
E,11,11
E,25,22
E,10,8
R,11,10
R,24,23
R,20,19
R,13,13
R,8,8
R,18,16
E,19,19
E,9,9
E,14,13
J,15,15
J,10,9
J,10,7
J,11,11
J,14,13
P,12,12
P,12,12
P,10,10
P,12,12
P,7,7
P,20,19
P,7,7
P,17,17
P,17,17
P,18,18
P,18,18
P,5,5
P,21,21
P,6,6
P,14,14
P,20,20
P,20,20
P,9,9
P,18,18
P,11,11
J,9,9
J,15,15
J,17,17
J,10,10
J,21,20
J,10,10
J,29,29
J,15,15
J,13,13
J,18,17
J,12,12
J,14,14
J,12,12
J,25,25
J,20,20
J,13,13
J,9,9
J,9,9
J,10,10
J,13,13
J,10,10
J,18,18
J,13,13
J,10,10
J,11,9
J,4,4
J,20,20
J,7,7
J,11,10
J,28,25
J,12,12
J,16,16
J,12,12
J,4,4
J,16,16
J,14,14
J,13,13
J,11,11
J,8,8
J,17,17
J,14,14
J,18,18
J,17,17
J,15,15
J,19,19
J,13,13
J,22,20
J,19,18
J,20,18
J,14,14
J,12,12
J,10,10
J,13,13
J,12,12
J,11,11
J,11,11
J,6,6
J,10,10
J,11,9
J,15,15
J,14,14
J,9,9
J,12,12
J,10,9
J,16,16
J,8,8
J,16,16
E,6,6
E,14,10
E,12,12
E,11,11
R,7,7
R,17,17
P,13,13
P,10,10
P,18,17
P,12,11
P,14,14
R,12,12
P,12,12
P,3,3
P,5,5
P,12,12
P,15,15
P,15,14
R,9,9
P,18,18
J,14,14
J,13,13
J,16,16
J,6,6
J,9,9
J,17,17
J,14,13
J,11,11
J,9,9
J,18,18
J,7,7
J,10,10
J,11,11
J,14,14
J,17,17
J,12,12
J,21,20
J,16,16
J,10,10
J,3,3
J,21,19
J,19,19
J,20,20
J,15,15
J,12,12
J,11,11
J,9,9
J,11,11
J,13,13
J,10,10
J,8,8
J,24,24
J,9,9
J,16,16
J,9,9
J,19,19
J,4,4
J,22,22
J,14,14
J,9,9
J,11,11
J,17,17
J,18,18
J,5,5
J,10,10
J,17,17
J,12,12
P,17,16
P,5,5
J,18,18
J,8,8
J,11,11
J,13,13
J,13,13
J,15,14
J,12,11
J,8,8
J,17,17
J,8,8
J,13,13
J,11,11
J,12,12
J,10,10
J,16,16
J,10,10
J,10,10
J,10,9
J,19,19
J,15,15
J,14,14
J,13,13
J,10,10
J,7,7
J,16,16
J,9,9
J,17,17
J,10,10
J,16,16
J,20,19
J,16,16
J,11,11
J,22,22
J,17,17
J,6,6
J,20,20
J,22,22
J,17,17
J,13,13
J,13,13
J,20,20
J,20,19
J,11,11
J,9,9
J,19,19
P,21,21
P,14,14
P,16,16
P,9,9
P,16,15
P,17,17
P,25,25
P,9,9
P,9,9
P,17,17
J,6,6
J,15,15
E,14,14
J,20,20
J,15,15
J,22,21
J,12,12
E,15,15
E,16,16
J,11,11
E,20,20
E,9,9
E,15,15
J,7,7
J,22,22
J,20,18
J,9,9
J,9,9
J,12,12
J,13,13
J,16,16
J,12,12
J,29,24
J,7,7
J,14,14
J,23,23
J,11,11
J,12,12
J,9,9
J,9,9
J,11,11
J,12,12
J,11,11
J,12,12
J,8,8
J,11,11
J,9,9
J,18,18
J,10,10
J,16,16
J,13,13
J,9,9
J,15,15
J,10,10
J,17,17
J,19,18
J,20,20
J,16,16
J,19,19
E,13,13
E,13,13
J,9,9
E,5,5
E,15,15
E,9,9
E,12,12
E,13,13
E,6,6
E,8,8
E,7,7
E,10,10
E,22,21
E,20,18
E,20,20
E,9,9
E,12,12
E,7,7
E,19,19
E,7,7
E,10,9
E,8,8
E,10,10
J,15,14
J,17,16
J,12,12
J,5,5
J,12,12
J,18,18
J,19,19
J,19,19
J,21,21
J,6,6
J,22,22
J,13,13
J,17,17
J,17,17
J,9,9
J,21,21
J,14,14
J,9,9
J,12,12
E,19,18
E,10,10
J,11,11
E,8,8
E,16,16
E,8,8
E,13,13
E,20,13
E,7,7
E,16,15
E,8,8
E,21,20
E,22,21
E,11,11
E,11,11
E,17,16
J,9,9
P,21,20
E,11,10
E,13,13
E,14,13
E,7,7
E,13,13
E,18,18
E,15,14
E,13,12
E,13,13
E,8,8
E,20,20
E,12,12
E,13,12
E,21,21
E,17,16
E,16,15
E,21,21
E,15,15
E,18,18
E,13,13
E,12,12
E,9,9
E,19,19
E,22,22
E,26,26
E,10,10
E,5,5
E,13,13
E,9,9
E,13,13
J,11,11
E,17,17
E,12,12
E,25,22
E,13,13
E,12,12
E,12,12
E,7,7
E,12,12
J,11,11
J,17,17
J,13,13
J,17,16
J,17,16
J,12,11
J,16,15
J,19,18
J,16,16
J,14,14
E,11,11
E,8,8
E,12,12
E,17,16
E,17,17
E,12,12
E,21,18
E,20,20
E,9,9
E,18,17
E,8,7
E,9,9
E,14,14
E,11,11
E,6,6
E,16,16
E,14,14
E,13,13
E,11,11
E,23,22
E,21,21
E,15,12
E,11,10
E,9,9
E,19,17
E,5,5
E,10,10
E,13,12
E,10,10
E,21,21
E,17,17
E,5,5
E,17,17
E,20,18
E,16,16
E,6,6
E,15,15
E,15,15
E,15,15
E,8,8
J,10,10
J,13,13
J,12,12
J,12,12
J,16,15
J,8,8
J,22,22
J,14,14
J,9,9
J,9,9
J,13,13
J,14,14
J,15,15
J,18,18
J,11,11
J,13,13
J,9,9
J,8,8
J,14,14
J,12,11
J,23,23
J,17,17
J,12,12
J,17,14
J,22,22
J,14,13
J,10,10
J,13,11
J,14,10
J,22,22
J,5,5
E,19,19
E,17,16
E,16,16
E,21,20
E,13,13
E,13,13
E,15,15
E,13,13
P,10,10
P,19,19
P,16,16
P,13,13
P,7,7
P,15,15
P,11,11
E,12,12
E,13,13
E,12,12
E,7,7
E,11,11
J,6,6
J,19,19
P,10,10
P,4,4
P,6,6
P,14,14
P,14,14
P,7,7
P,14,14
R,5,5
P,18,15
P,6,6
P,9,8
P,16,15
P,30,24
P,14,14
P,7,7
P,7,7
P,14,13
P,8,8
P,15,15
P,13,13
P,18,17
P,16,15
P,14,14
P,23,20
P,18,17
P,7,7
P,10,10
P,10,10
P,8,7
P,8,8
P,17,16
P,7,7
P,7,7
P,6,6
P,5,5
P,11,10
P,12,11
J,11,11
J,8,8
J,8,8
J,7,7
J,15,15
J,6,6
J,7,7
J,7,7
J,17,17
J,13,11
J,6,5
J,6,4
J,14,14
P,7,6
R,30,27
E,15,15
E,14,14
J,9,9
J,8,8
J,16,16
J,18,18
J,20,20
J,23,23
J,7,7
E,7,7
E,14,14
E,18,18
E,10,10
E,11,11
E,15,15
E,9,8
J,9,9
J,14,14
E,8,8
E,24,22
J,16,14
E,9,9
E,19,19
J,13,12
J,13,13
E,20,18
E,11,11
E,10,10
J,11,10
J,17,17
J,10,10
J,11,11
J,18,18
E,10,10
J,13,13
J,11,11
J,7,7
J,8,8
J,12,12
J,7,7
J,9,9
J,12,12
J,19,19
J,8,8
J,24,24
J,18,18
J,9,9
J,24,24
J,7,7
J,22,21
J,13,13
J,18,17
J,8,8
J,14,14
J,16,16
J,14,14
J,14,14
J,17,17
J,21,21
J,16,16
J,6,6
J,14,14
J,14,14
J,10,10
J,16,16
J,11,11
J,12,11
J,14,14
J,26,23
J,22,21
J,14,14
J,18,18
J,22,22
J,13,13
J,13,13
J,11,11
J,8,8
J,20,20
J,12,12
J,8,8
J,14,14
J,9,9
J,17,17
J,17,17
J,13,13
J,20,19
J,17,17
E,12,12
E,11,11
E,14,14
E,11,11
E,19,19
E,8,8
E,14,14
E,16,16
E,12,12
E,10,10
E,17,16
E,10,10
E,19,19
E,18,18
E,14,13
E,18,18
E,14,14
E,10,10
E,17,16
E,22,21
E,11,10
E,8,8
E,7,7
E,10,10
E,12,12
E,18,18
E,14,14
E,11,11
E,8,8
E,12,12
E,22,20
E,11,10
E,14,14
E,10,10
E,16,16
E,12,12
E,14,14
E,17,17
E,11,10
E,10,10
E,12,12
E,19,19
E,9,9
E,14,13
E,10,10
E,9,9
E,13,13
E,14,14
E,15,15
E,18,18
E,12,12
E,9,9
E,14,14
E,13,13
E,14,14
E,10,10
E,13,13
E,16,16
E,15,15
E,7,7
E,11,11
E,15,15
E,13,13
E,11,11
E,20,19
E,15,15
E,17,17
E,19,19
P,17,17
E,6,6
E,20,20
E,14,13
E,16,16
E,16,14
E,10,10
E,8,8
E,17,17
E,20,19
E,18,17
E,12,12
J,11,11
J,15,15
J,7,7
J,14,14
E,11,11
E,17,17
E,19,19
J,7,7
J,16,16
J,8,8
J,11,11
J,8,8
J,18,18
J,10,10
J,13,12
J,19,19
J,6,6
J,12,12
J,14,14
J,11,11
E,23,22
E,17,17
E,9,8
E,14,14
E,18,18
J,7,7
J,15,14
J,20,19
J,13,13
J,11,11
J,7,7
J,14,14
J,19,19
J,20,19
E,16,16
E,16,16
E,20,20
J,22,22
J,3,3
J,17,17
J,15,15
J,10,10
J,15,15
J,10,10
J,26,26
J,19,18
J,14,14
J,8,8
J,24,24
J,14,14
J,7,7
E,18,18
J,17,17
J,21,19
J,11,11
E,24,24
E,11,11
E,8,8
E,18,18
E,12,12
E,19,19
J,13,13
J,13,13
J,13,13
J,11,11
J,8,8
J,19,19
J,13,13
J,7,7
J,21,21
J,11,11
J,15,15
J,19,18
J,16,16
J,6,6
J,23,23
J,13,13
J,6,6
J,12,12
J,17,17
J,10,10
J,15,15
J,9,8
J,9,9
J,8,8
J,11,11
J,16,16
J,24,22
J,19,19
J,19,19
J,10,10
J,18,18
J,8,8
J,13,12
J,13,12
J,11,11
J,7,7
J,20,20
J,11,11
J,11,11
J,13,12
J,11,11
J,14,14
J,16,16
J,12,12
J,15,15
J,20,20
J,9,9
E,17,16
J,16,16
J,15,15
J,13,13
J,11,11
J,18,18
J,19,19
J,15,15
J,15,15
J,10,10
J,15,13
J,10,9
J,10,9
J,13,13
J,16,15
J,17,15
J,15,15
J,12,12
J,15,15
J,13,13
J,16,16
J,9,9
J,8,8
J,18,18
J,21,21
J,11,11
E,13,13
E,10,9
E,14,14
E,13,13
E,20,19
P,15,15
P,12,12
P,11,11
P,6,6
P,10,10
P,5,5
P,17,17
P,6,6
P,5,5
P,17,17
P,9,9
P,12,11
P,15,15
P,6,6
P,16,16
P,12,12
P,10,10
P,3,3
P,6,6
P,15,15
P,15,14
P,15,15
J,12,12
J,17,16
J,13,13
J,20,20
J,13,13
J,8,8
J,22,21
J,18,18
J,8,8
J,16,14
J,23,23
J,9,9
J,26,26
E,12,11
E,8,8
E,25,22
E,7,7
J,18,17
J,13,13
J,15,15
J,20,19
J,21,21
J,10,10
J,21,20
J,28,27
J,25,25
J,19,17
J,10,10
J,23,22
J,17,17
J,16,16
J,9,9
J,19,19
J,11,11
P,17,16
J,27,26
J,11,11
J,10,10
E,18,17
E,13,13
P,13,13
P,16,16
P,19,19
P,11,11
R,20,20
E,8,8
E,16,16
E,14,14
E,15,15
E,8,8
E,16,15
E,21,19
E,18,18
E,19,19
E,23,19
E,14,14
E,22,22
E,17,17
E,15,14
E,13,13
J,14,14
J,8,7
J,10,10
J,12,12
J,6,6
J,15,14
J,11,10
J,11,11
J,12,12
J,14,14
J,12,12
J,6,6
J,10,10
J,6,6
J,14,13
J,6,6
J,14,13
J,3,3
J,6,6
J,7,7
J,6,6
J,11,10
J,5,5
J,13,13
J,16,15
J,16,15
J,9,9
R,18,18
P,18,16
P,20,20
P,18,16
P,8,8
P,13,12
J,9,9
J,13,10
J,14,14
J,19,19
J,21,21
J,8,8
J,16,16
J,13,13
J,10,9
J,18,18
J,21,21
P,6,6
P,23,23
J,15,14
J,19,19
J,9,9
J,23,22
J,9,9
J,9,9
J,14,14
J,13,13
J,11,11
E,14,14
E,22,21
E,14,13
E,11,11
R,11,11
R,4,4
R,3,3
R,4,4
R,11,11
J,7,7
P,11,11
E,10,10
E,10,10
E,19,19
E,15,15
E,11,11
P,6,6
P,17,17
E,12,12
E,16,16
E,14,13
E,13,13
E,17,17
E,7,7
E,9,9
J,13,13
J,8,8
J,12,12
J,20,20
J,7,7
J,20,18
J,13,13
J,16,16
J,11,11
J,18,17
J,16,16
J,17,17
J,12,12
J,13,13
J,20,20
J,19,17
J,12,12
J,9,9
J,9,9
J,13,13
J,13,13
J,10,9
J,12,12
J,19,18
P,14,11
P,7,7
E,19,18
J,16,16
J,13,13
J,15,15
J,17,17
E,18,18
J,18,17
J,25,23
E,15,15
E,11,11
E,16,15
E,20,19
E,23,22
E,15,14
E,28,27
E,24,24
E,18,17
E,26,26
J,12,12
J,15,14
J,13,13
J,18,18
E,16,15
E,8,8
E,10,10
E,15,15
E,14,14
E,16,15
E,14,13
E,14,13
E,25,24
E,25,24
E,20,19
E,9,9
E,7,7
E,22,22
E,17,17
E,14,14
E,10,10
E,23,22
J,15,15
J,18,17
E,24,23
E,9,9
E,14,13
J,7,7
J,15,15
J,7,7
E,14,14
E,14,13
E,9,9
E,14,14
E,15,14
J,18,18
J,19,17
E,19,19
E,13,13
E,10,10
E,10,10
E,14,14
E,24,24
E,10,10
E,15,15
E,12,12
E,8,8
E,11,11
E,21,20
E,12,12
E,13,13
E,11,11
E,10,10
E,13,13
E,10,10
E,18,18
E,13,13
E,14,14
E,17,17
P,8,8
P,14,13
P,16,15
P,14,14
P,20,20
P,17,17
P,19,19
P,14,13
P,5,5
P,11,11
P,17,17
R,20,19
P,15,14
P,13,13
P,15,15
P,5,5
P,13,12
P,8,8
P,20,20
P,5,5
P,5,5
P,20,17
P,8,8
P,18,18
R,15,15
R,14,14
R,8,8
R,18,17
R,12,12
P,12,12
P,16,16
P,12,11
P,19,17
P,15,14
P,9,9
P,12,11
P,7,7
P,19,19
P,20,20
P,12,12
P,10,10
P,9,9
E,10,10
E,18,18
E,18,18
E,20,20
E,12,12
P,33,32
P,24,24
E,18,18
P,14,14
E,10,10
E,13,13
E,8,8
E,16,15
E,11,11
E,15,15
E,6,6
P,23,20
P,13,12
P,10,10
E,17,17
E,17,17
E,10,10
E,9,9
E,15,15
E,12,11
E,6,6
E,14,14
P,19,19
P,23,22
P,13,13
P,16,16
E,20,20
E,24,22
E,21,21
E,10,10
E,17,17
E,10,10
E,20,20
E,11,11
E,16,16
E,26,26
E,7,7
E,12,12
E,11,10
E,18,16
E,8,8
E,15,15
E,14,13
E,10,10
E,16,16
E,16,15
P,17,17
P,17,17
P,17,17
P,14,14
P,13,13
E,20,19
E,19,19
E,13,13
E,13,13
E,5,5
E,17,17
E,23,22
E,13,12
E,13,13
E,24,23
E,19,18
E,18,18
E,23,21
E,10,10
E,14,14
E,13,13
E,22,21
E,9,9
E,8,8
E,7,7
E,17,17
E,13,13
R,13,13
E,20,19
E,19,19
E,20,20
E,12,12
E,25,21
E,25,23
E,22,21
E,17,16
E,14,14
E,16,16
E,17,17
E,24,22
E,24,23
E,22,22
E,29,25
E,10,10
E,15,15
E,6,6
E,19,19
R,10,9
E,15,14
E,14,14
E,17,17
E,17,17
E,11,11
E,24,23
R,8,8
E,16,16
E,9,9
E,23,22
E,15,14
E,19,19
E,11,11
E,19,19
E,13,13
E,19,19
E,22,22
R,13,13
R,20,18
P,9,9
P,10,10
P,17,16
P,19,19
P,12,12
P,17,17
P,15,15
P,11,11
P,16,16
P,11,10
P,15,15
P,20,20
P,22,22
P,13,13
P,23,23
P,24,23
P,19,17
P,14,14
P,18,18
P,8,8
E,14,14
E,25,25
E,24,22
E,9,9
E,15,15
E,9,9
E,21,21
P,12,12
E,23,23
E,19,18
E,19,18
E,11,9
E,12,12
E,11,11
E,12,12
E,11,10
R,12,12
E,10,10
E,22,22
P,11,11
P,17,16
P,16,15
P,14,14
P,10,10
P,5,5
P,14,13
P,5,5
P,22,22
P,7,7
R,13,13
R,13,13
E,5,5
E,13,13
E,23,23
E,5,5
E,26,26
E,8,8
E,15,14
E,12,12
E,19,19
E,7,7
E,13,13
E,14,14
E,14,14
E,17,17
E,29,28
E,13,13
E,24,23
E,14,14
E,22,20
R,6,6
J,16,16
J,10,10
P,5,5
P,18,17
P,10,10
P,17,17
J,21,21
J,7,7
J,11,11
P,16,16
J,18,17
P,18,17
E,16,16
E,21,20
J,27,26
J,5,5
P,12,11
P,16,15
P,14,14
P,9,9
E,15,14
E,20,19
P,21,19
P,11,11
P,12,12
J,15,15
E,16,16
P,17,15
P,20,19
P,18,18
P,11,11
J,16,15
J,17,16
J,20,20
J,12,12
J,5,4
J,10,10
J,6,6
J,8,8
J,8,8
J,12,12
J,12,12
J,8,8
J,12,12
J,4,4
J,10,10
J,7,7
J,12,12
J,17,17
J,12,12
J,4,4
R,19,19
E,14,14
E,12,12
R,17,17
J,15,15
J,7,7
J,18,17
E,27,27
R,13,13
R,23,23
P,10,10
P,30,30
J,22,22
J,14,14
P,15,15
P,15,14
P,27,27
P,17,16
P,16,15
P,5,5
P,20,20
P,13,13
P,13,12
P,24,24
P,18,18
P,7,7
P,12,12
P,9,9
P,15,15
P,10,10
